date,ticker,revenue_growth,earnings_growth,trailing_pe,price_to_sales,operating_margin,fcf_margin,momentum,relative_strength,price_vs_ma,relative_volume,analyst_upside,net_upgrades,revisions_trend,institutional_flow,insider_flow,forward_return
2025-01-01,AAPL,2.021994077514111,-3.3599670086086886,40.92601976896587,9.619376492359244,0.31510222870075566,0.40822177042975694,11.040215040569667,8.44368593273579,5.425561081707042,19.698061235903943,-4.6691713040865395,-1.0,-2.0,31.29721022100525,-200036478.0,-8.6979759248072
2025-01-01,ABNB,12.910244896488177,-66.3349184739058,,,0.15009225092250922,0.48029151291512917,-0.8226387455778306,-3.4191678534117087,-2.988019697673605,-3.150792153764126,5.644610256506621,-1.0,0.0,29.06497817475876,0.0,1.2093182600755537
2025-01-01,ADBE,10.912845494016743,4.667057215387627,37.52573777854693,9.446822778475326,0.31159593259177926,0.30591492815200266,-10.390133518711753,-12.98666262654563,-9.910531742311314,28.238926690573884,34.44541281346767,0.0,0.0,20.99650606860768,-18425691.0,-1.0521575166524966
2025-01-01,ADI,-23.39094614222099,-50.664232169455005,63.351077568240285,10.939277326385739,0.2156321359663364,0.4062190753797778,-6.992329262015884,-9.588858369849762,-2.6510132013704,-1.709967937031276,19.10976098534376,0.0,1.0,35.626850697896344,-27388251.0,4.778794509060513
2025-01-01,AMAT,2.4851981747558094,4.682030338389742,18.65481422061012,4.834614492915538,0.2894833676773624,0.3191786870768325,-18.85083072941802,-21.447359837251902,-7.753083382776593,-5.648115044294344,33.23541946245285,-1.0,-1.0,21.272543484802306,0.0,17.696951572033637
2025-01-01,AMD,9.877436570033016,777.8846153846154,107.8482151031494,8.069239410821194,0.05643136447828771,0.11936612471701996,-30.098380334317586,-32.69490944215146,-12.703677979872808,4.922691672040691,58.15326755972923,-1.0,-1.0,-0.13649430890586842,-63251053.0,1.367820246578133
2025-01-01,AMZN,11.930804941266505,148.35898202101697,46.97858659307247,3.718600488261447,0.0977201480984571,0.18174634914082255,20.06895683229144,17.47242772445756,4.548495512172246,-8.23011140157237,6.763830310543484,-1.0,-1.0,30.092671376824462,-14270116.0,4.763420867776236
2025-01-01,ANET,18.191465918703308,40.18994367557638,53.07562966592886,21.049003462747937,0.4211123690430592,0.2056662281966513,10.469240359973519,7.872711252139641,6.684656820041379,-33.18962524926936,-18.259998896204678,0.0,0.0,17.238547145984892,0.0,8.685928083863148
2025-01-01,ARM,,,202.2295091972977,36.67648108669859,0.11371994342291372,,-14.094710747138716,-16.691239854972594,-11.435870750227817,-13.857670989079818,12.386510468585566,-1.0,-3.0,13.672880683009364,0.0,21.060842935043624
2025-01-01,ASML,,,,,,,-15.719714408909391,-18.31624351674327,-0.29637639160091656,-32.57875975464851,40.65386213744948,0.0,0.0,3.052630086921393,,8.93463603258493
2025-01-01,AVGO,43.98503587481504,-58.13804857264593,,20.799654855268454,0.26104238569822,0.2995695505487261,28.623454710797414,26.026925602963537,24.325117675816443,65.08895948845417,-2.673629846373271,0.0,0.0,967.744606162268,-83937967.0,3.5908247712284735
2025-01-01,BKNG,11.740184197770231,-5.016974726518297,33.43468595915334,,0.2791514836022905,0.3071750824223495,17.563046563218432,14.966517455384555,0.2431936467549134,-9.235528741928267,-1.1911038074366886,0.0,0.0,16.998427632087424,-4368344.0,-4.85006964780329
2025-01-01,CRM,9.527596159509933,128.9737654320988,54.355249906841074,8.628788130092756,0.1884159294415015,0.336793137755788,14.79625699338487,12.199727885550992,1.9706061356681737,-1.0190945721357147,13.488152683636434,1.0,1.0,21.117688373361617,0.0,-1.1552812939180424
2025-01-01,CRWD,26.61242659135612,-969.5889556196864,743.826094917629,,-0.002560326887537274,0.2113383289893851,16.774168887881615,14.177639780047734,0.06834929749965912,-11.604306019093357,4.756807809091823,-1.0,2.0,36.0803991880816,0.0,5.4902998575688144
